user_id,age,gender,region_category,joining_date,api_calls_90d,session_minutes_90d,days_since_active,churn_status,session_bucket,api_bucket,churn_risk_score
68,28,M,Village,2017-10-29,344,135.1,2,Active,Very Low,Very Low,2
69,53,M,Town,2017-01-27,10158,501.51,0,Active,High,Very High,0
70,55,F,Town,2017-09-03,9163,364.99,8,Active,Low,Very High,1
71,59,F,Town,2017-06-08,400,336.44,0,Active,Low,Low,2
72,39,M,City,2016-12-01,450,179.48,14,Active,Very Low,Low,2
73,11,M,City,2016-06-22,2491,303.86,1,Active,Low,High,1
74,37,M,Village,2016-05-17,255,163.25,5,Active,Very Low,Very Low,2
75,53,M,City,2017-04-06,334,223.1,8,Active,Very Low,Very Low,2
76,57,M,Town,2016-01-02,293,134.24,7,Active,Very Low,Very Low,2
77,47,M,Town,2015-07-22,2436,489.81,0,Active,High,High,0
78,50,M,Town,2015-01-21,2086,518.12,1,Active,High,High,0
79,49,F,City,2016-08-25,2270,246.68,4,Active,Very Low,High,1
80,54,M,Town,2017-06-21,3123,169.05,6,Active,Very Low,Very High,1
81,30,M,Village,2016-09-17,1690,303.9,7,Active,Low,High,1
82,25,F,City,2015-08-20,1717,354.47,6,Active,Low,High,1
83,53,F,City,2015-04-02,8965,997.15,1,Active,Very High,Very High,0
84,54,M,,2015-08-07,322,379.57,18,Silent Churn,Low,Very Low,3
85,62,F,City,2016-10-13,270,376.02,10,Active,Low,Very Low,2
86,55,M,City,2015-04-14,8531,1389.29,0,Active,Very High,Very High,0
87,30,F,,2017-11-13,310,132.48,20,Silent Churn,Very Low,Very Low,3
88,30,M,City,2017-06-03,1696,402.19,4,Active,Low,High,1
89,51,M,Town,2015-12-10,7081,773.31,9,Active,Very High,Very High,0
90,29,M,Village,2017-11-07,2302,542.96,0,Active,High,High,0
91,16,M,City,2017-11-06,1827,1050.43,2,Active,Very High,High,0
92,25,F,Village,2017-05-18,1853,310.3,4,Active,Low,High,1
93,62,F,City,2017-07-06,399,681.48,6,Active,High,Low,1
94,24,F,Town,2017-08-29,7319,680.65,8,Active,High,Very High,0
95,48,M,City,2015-03-27,464,131.36,13,Active,Very Low,Low,2
96,56,M,Village,2017-08-22,397,367.13,0,Active,Low,Low,2
97,17,M,,2016-12-28,363,277.86,5,Active,Low,Low,2
98,23,F,Town,2016-08-04,2946,742.91,5,Active,Very High,High,0
99,42,F,City,2016-06-23,376,790.39,3,Active,Very High,Low,1
100,59,M,Village,2015-09-01,1648,680.19,4,Active,High,High,0
101,18,M,Town,2015-12-22,452,306.58,8,Active,Low,Low,2
102,23,M,City,2015-06-21,1156,823.87,6,Active,Very High,Low,1
103,52,F,City,2017-11-13,393,439.53,5,Active,High,Low,1
104,49,F,Town,2016-09-02,11632,387.8,5,Active,Low,Very High,1
105,30,M,,2017-05-14,6597,809.74,0,Active,Very High,Very High,0
106,31,F,Town,2016-08-18,220,297.2,15,Silent Churn,Low,Very Low,3
107,27,M,City,2016-10-23,1660,357.54,4,Active,Low,High,1
108,56,M,City,2016-04-24,3186,643.4,0,Active,High,Very High,0
109,11,M,,2016-08-24,2651,474.45,0,Active,High,High,0
110,31,F,Town,2017-04-13,1917,536.21,1,Active,High,High,0
111,29,M,Town,2016-05-07,9737,790.03,2,Active,Very High,Very High,0
112,31,F,City,2016-04-20,3216,393.9,4,Active,Low,Very High,1
113,11,F,Town,2015-03-10,431,278.23,4,Active,Low,Low,2
114,14,M,Town,2017-07-19,395,441.28,7,Active,High,Low,1
115,26,M,City,2017-11-14,2095,695.08,4,Active,High,High,0
116,62,M,,2016-01-09,14405,1811.53,3,Active,Very High,Very High,0
117,51,M,Village,2017-09-22,6773,375.99,0,Active,Low,Very High,1
118,43,F,Village,2016-12-12,1809,392.7,5,Active,Low,High,1
119,23,M,Town,2016-03-17,1682,834.75,3,Active,Very High,High,0
120,57,M,Town,2015-08-30,2910,287.93,1,Active,Low,High,1
121,17,M,,2015-11-12,2186,520.54,2,Active,High,High,0
122,42,M,City,2015-06-08,12419,579.95,1,Active,High,Very High,0
123,21,F,City,2016-03-11,2304,176.66,5,Active,Very Low,High,1
124,46,M,Village,2017-03-16,385,329.49,6,Active,Low,Low,2
125,41,M,,2016-11-25,3499,373.11,1,Active,Low,Very High,1
126,61,M,City,2017-05-31,380,140.8,15,Silent Churn,Very Low,Low,3
127,15,F,City,2015-08-04,11004,636.48,1,Active,High,Very High,0
128,56,M,,2016-07-08,3121,732.99,0,Active,Very High,Very High,0
129,35,M,City,2015-03-26,2063,625.6,5,Active,High,High,0
130,57,M,Town,2015-01-13,399,339.96,13,Active,Low,Low,2
131,64,M,Town,2015-03-16,532,142.66,32,Silent Churn,Very Low,Low,3
132,21,M,Town,2017-02-28,281,225.37,21,Silent Churn,Very Low,Very Low,3
133,53,F,Town,2017-01-27,1304,718.13,1,Active,Very High,Low,1
134,26,M,Village,2017-06-26,331,474.14,0,Active,High,Very Low,1
135,61,M,Town,2016-01-08,1955,557.5,3,Active,High,High,0
136,30,M,Town,2015-04-28,485,130.18,11,Active,Very Low,Low,2
137,38,M,Town,2015-08-13,1959,962.58,6,Active,Very High,High,0
138,35,F,City,2015-06-24,2057,651.26,0,Active,High,High,0
139,61,F,,2017-07-17,265,180.25,10,Active,Very Low,Very Low,2
140,53,M,City,2017-05-05,1675,595.78,0,Active,High,High,0
141,55,M,Town,2017-11-26,279,211.05,1,Active,Very Low,Very Low,2
142,23,M,City,2016-01-30,377,100.17,21,Silent Churn,Very Low,Low,3
143,11,M,Town,2015-04-23,9730,911.06,0,Active,Very High,Very High,0
144,22,M,Town,2017-10-07,311,437.15,0,Active,High,Very Low,1
145,37,M,Village,2015-02-04,1621,466.68,0,Active,High,Low,1
146,31,M,,2016-03-15,9025,1150.65,4,Active,Very High,Very High,0
147,20,M,City,2016-12-22,7936,623.47,5,Active,High,Very High,0
148,53,M,City,2017-09-02,11187,985.24,1,Active,Very High,Very High,0
149,38,F,City,2017-05-24,437,472.81,6,Active,High,Low,1
150,59,F,City,2016-08-31,419,147.52,2,Active,Very Low,Low,2
151,50,F,Town,2016-02-26,2699,274.38,14,Active,Low,High,1
152,64,F,City,2015-03-30,2097,595.01,1,Active,High,High,0
153,27,F,Town,2017-03-27,1834,344.38,5,Active,Low,High,1
154,12,F,Town,2017-10-07,3447,677.52,2,Active,High,Very High,0
155,29,F,Village,2016-01-04,8766,258.63,1,Active,Very Low,Very High,1
156,39,F,City,2016-09-27,1771,907.26,3,Active,Very High,High,0
157,37,F,City,2017-05-21,13808,331.7,0,Active,Low,Very High,1
158,37,F,Town,2016-02-09,1744,641.83,8,Active,High,High,0
159,21,M,Town,2015-07-01,1554,168.91,8,Active,Very Low,Low,2
160,64,F,Town,2017-09-26,314,689.79,1,Active,High,Very Low,1
161,56,F,Town,2016-02-03,1478,669.31,2,Active,High,Low,1
162,37,F,Town,2016-07-21,322,286.52,12,Active,Low,Very Low,2
163,55,M,Town,2016-10-07,275,371.47,5,Active,Low,Very Low,2
164,18,M,City,2016-05-10,332,231.55,6,Active,Very Low,Very Low,2
165,27,F,,2017-09-27,1194,459.34,0,Active,High,Low,1
166,57,M,Town,2017-10-26,7659,831.79,0,Active,Very High,Very High,0
167,48,F,City,2017-09-23,251,319.67,2,Active,Low,Very Low,2
168,54,M,Town,2016-07-24,264,254.47,4,Active,Very Low,Very Low,2
169,52,F,Village,2017-12-31,1496,421.71,1,Active,Low,Low,2
170,33,F,Town,2017-09-20,8360,886.78,0,Active,Very High,Very High,0
171,35,M,Town,2017-03-05,229,233.0,22,Silent Churn,Very Low,Very Low,3
172,42,M,City,2015-10-06,12312,1097.36,0,Active,Very High,Very High,0
173,39,F,City,2017-10-27,1892,412.65,5,Active,Low,High,1
174,50,F,City,2016-06-15,1688,719.57,4,Active,Very High,High,0
175,29,M,City,2015-01-08,9003,981.55,0,Active,Very High,Very High,0
176,47,M,Town,2017-01-05,271,369.2,10,Active,Low,Very Low,2
177,16,F,City,2017-04-30,1602,305.2,9,Active,Low,Low,2
178,48,M,,2015-12-28,436,479.64,5,Active,High,Low,1
179,14,F,City,2016-12-19,228,351.98,11,Active,Low,Very Low,2
180,13,F,Village,2016-11-28,9063,1447.2,0,Active,Very High,Very High,0
181,56,F,Town,2016-09-04,265,283.44,1,Active,Low,Very Low,2
182,64,F,City,2016-09-29,2182,853.88,0,Active,Very High,High,0
183,47,M,Town,2015-03-14,284,129.71,3,Active,Very Low,Very Low,2
184,46,F,Town,2015-08-02,11185,1830.68,0,Active,Very High,Very High,0
185,45,M,Town,2017-04-04,12940,1039.98,1,Active,Very High,Very High,0
186,60,F,Town,2015-12-10,10478,505.46,4,Active,High,Very High,0
187,19,F,Town,2016-03-30,9832,401.47,0,Active,Low,Very High,1
188,21,F,Town,2017-03-23,1691,513.23,8,Active,High,High,0
189,60,M,City,2015-07-27,1806,356.85,8,Active,Low,High,1
190,32,M,Town,2017-11-11,2934,484.33,7,Active,High,High,0
191,36,F,Town,2017-12-09,9657,538.25,0,Active,High,Very High,0
192,52,F,Town,2016-08-24,392,271.42,11,Active,Low,Low,2
193,39,M,Town,2016-12-29,475,395.25,16,Silent Churn,Low,Low,3
194,42,F,City,2016-09-03,1289,397.95,0,Active,Low,Low,2
195,56,M,Town,2017-05-03,2038,668.96,0,Active,High,High,0
196,17,F,Town,2017-07-12,1534,997.76,0,Active,Very High,Low,1
197,56,M,Town,2016-08-30,345,187.44,3,Active,Very Low,Very Low,2
198,33,F,City,2017-12-29,8740,1780.76,4,Active,Very High,Very High,0
199,33,F,City,2015-11-07,1650,723.35,4,Active,Very High,High,0
200,41,M,Town,2015-05-11,320,65.77,2,Active,Very Low,Very Low,2
201,42,F,City,2017-05-13,457,462.23,3,Active,High,Low,1
202,43,M,,2017-05-14,1683,514.55,0,Active,High,High,0
203,12,F,City,2015-06-11,313,277.94,7,Active,Low,Very Low,2
204,23,F,Village,2015-05-13,373,346.73,5,Active,Low,Low,2
205,14,F,Town,2015-07-02,2535,568.48,1,Active,High,High,0
206,62,F,Town,2015-10-18,2099,603.4,0,Active,High,High,0
207,60,M,Town,2015-12-17,2234,893.38,1,Active,Very High,High,0
208,56,M,Town,2016-07-23,422,329.75,8,Active,Low,Low,2
209,41,M,,2015-06-14,1257,557.97,1,Active,High,Low,1
210,18,F,Town,2016-05-02,1380,231.39,32,Silent Churn,Very Low,Low,3
211,63,M,Village,2017-03-25,2101,233.26,0,Active,Very Low,High,1
212,23,M,City,2017-12-08,2555,1071.12,1,Active,Very High,High,0
213,17,M,City,2017-10-30,7459,394.88,12,Active,Low,Very High,1
214,42,F,City,2016-03-28,1701,746.87,0,Active,Very High,High,0
215,31,F,City,2017-02-01,1358,482.9,2,Active,High,Low,1
216,12,F,Town,2017-06-02,1953,704.87,7,Active,High,High,0
217,63,M,,2017-11-13,8781,717.57,1,Active,Very High,Very High,0
218,16,F,Town,2017-11-03,8331,676.48,4,Active,High,Very High,0
219,38,M,Town,2016-02-04,262,60.42,6,Active,Very Low,Very Low,2
220,15,M,City,2015-12-18,13495,513.17,2,Active,High,Very High,0
221,30,M,City,2015-11-06,269,411.29,1,Active,Low,Very Low,2
222,64,M,Village,2016-10-11,384,468.71,7,Active,High,Low,1
223,59,M,Town,2015-01-29,405,395.36,0,Active,Low,Low,2
224,23,M,City,2015-08-04,256,299.1,7,Active,Low,Very Low,2
225,32,F,Town,2015-06-22,2065,1045.85,3,Active,Very High,High,0
226,11,M,,2015-05-03,8128,401.1,4,Active,Low,Very High,1
227,42,M,City,2016-07-30,7163,442.63,5,Active,High,Very High,0
228,12,M,Town,2017-11-01,379,112.73,5,Active,Very Low,Low,2
229,45,M,City,2015-07-01,9426,1169.64,1,Active,Very High,Very High,0
230,19,F,Town,2015-03-24,7726,203.62,0,Active,Very Low,Very High,1
231,55,F,City,2015-08-06,2842,484.23,5,Active,High,High,0
232,16,F,City,2017-02-27,2008,519.95,1,Active,High,High,0
233,56,M,City,2016-02-11,11844,1343.79,1,Active,Very High,Very High,0
234,24,F,Town,2016-11-08,2421,518.48,0,Active,High,High,0
235,24,F,Town,2015-01-14,6295,459.55,6,Active,High,Very High,0
236,53,M,Town,2015-06-11,339,396.58,6,Active,Low,Very Low,2
237,12,F,Town,2015-08-18,234,413.52,19,Silent Churn,Low,Very Low,3
238,58,M,Town,2015-02-19,294,399.1,1,Active,Low,Very Low,2
239,63,F,Village,2017-06-16,10536,1693.36,2,Active,Very High,Very High,0
240,62,M,Town,2016-07-07,1754,691.08,10,Active,High,High,0
241,48,F,Village,2015-04-09,8234,751.75,5,Active,Very High,Very High,0
242,60,M,Town,2015-11-01,2201,580.78,11,Active,High,High,0
243,64,F,City,2017-08-19,285,94.62,1,Active,Very Low,Very Low,2
244,11,F,,2016-12-10,285,105.81,34,Silent Churn,Very Low,Very Low,3
245,39,M,City,2015-06-02,315,225.13,2,Active,Very Low,Very Low,2
246,52,F,City,2016-10-09,283,491.16,0,Active,High,Very Low,1
247,54,F,Town,2016-11-11,1536,426.07,0,Active,Low,Low,2
248,12,M,Town,2015-04-23,1225,680.05,5,Active,High,Low,1
249,49,F,,2015-01-05,1555,222.28,1,Active,Very Low,Low,2
250,23,M,Town,2017-02-03,11176,912.42,1,Active,Very High,Very High,0
251,62,F,Village,2017-04-10,268,580.99,4,Active,High,Very Low,1
252,45,M,,2017-09-13,1268,1002.71,1,Active,Very High,Low,1
253,17,F,,2015-12-13,1944,638.95,0,Active,High,High,0
254,22,M,Village,2015-03-03,258,149.87,17,Silent Churn,Very Low,Very Low,3
255,38,M,Town,2017-02-22,365,94.9,1,Active,Very Low,Low,2
256,28,M,City,2017-07-24,8510,846.27,1,Active,Very High,Very High,0
257,39,F,City,2017-12-24,2537,730.35,3,Active,Very High,High,0
258,61,F,Town,2017-01-26,172,146.95,9,Active,Very Low,Very Low,2
259,64,M,Town,2016-10-17,2318,309.87,12,Active,Low,High,1
260,37,M,Town,2016-08-29,2172,444.17,1,Active,High,High,0
261,48,M,,2015-01-20,219,292.04,1,Active,Low,Very Low,2
262,54,M,Town,2015-07-04,7947,598.45,7,Active,High,Very High,0
263,34,F,City,2016-06-13,2339,626.12,1,Active,High,High,0
264,50,F,Town,2015-02-01,2302,919.84,6,Active,Very High,High,0
265,20,F,Town,2015-11-02,1850,545.11,4,Active,High,High,0
266,27,F,Village,2015-07-17,496,280.61,19,Silent Churn,Low,Low,3
267,14,F,Town,2016-05-12,252,431.82,2,Active,Low,Very Low,2
268,32,F,,2015-06-01,435,150.04,19,Silent Churn,Very Low,Low,3
269,55,F,City,2017-03-15,316,236.51,14,Active,Very Low,Very Low,2
270,21,F,City,2015-11-05,441,387.35,6,Active,Low,Low,2
271,12,M,Town,2017-10-24,295,465.38,8,Active,High,Very Low,1
272,58,F,Town,2017-08-18,2294,715.76,1,Active,Very High,High,0
273,23,F,Town,2015-08-06,384,70.21,1,Active,Very Low,Low,2
274,55,F,Town,2016-05-17,2169,432.88,5,Active,High,High,0
275,26,M,,2016-10-09,2014,581.7,3,Active,High,High,0
276,16,M,City,2017-05-01,1961,694.95,0,Active,High,High,0
277,17,M,Town,2016-01-22,1500,509.05,1,Active,High,Low,1
278,11,M,City,2015-05-21,9187,960.74,0,Active,Very High,Very High,0
279,44,M,City,2017-12-13,2674,370.5,5,Active,Low,High,1
280,16,F,Town,2016-10-01,2163,337.23,15,Active,Low,High,2
281,30,F,City,2017-07-07,331,392.9,4,Active,Low,Very Low,2
282,17,F,Town,2016-06-07,1864,1117.58,2,Active,Very High,High,0
283,35,M,City,2017-07-11,1794,779.35,5,Active,Very High,High,0
284,62,M,City,2017-07-31,462,208.9,7,Active,Very Low,Low,2
285,25,M,Town,2017-10-25,380,283.45,1,Active,Low,Low,2
286,22,F,,2015-12-06,2070,1101.61,1,Active,Very High,High,0
287,58,F,Town,2016-03-07,356,220.64,1,Active,Very Low,Low,2
288,62,F,Town,2017-09-14,329,181.47,12,Active,Very Low,Very Low,2
289,41,M,Town,2015-12-03,1999,1080.1,0,Active,Very High,High,0
290,48,M,Town,2015-03-21,9484,607.82,0,Active,High,Very High,0
291,41,M,City,2017-09-18,13937,952.8,0,Active,Very High,Very High,0
292,38,M,,2016-04-04,297,582.9,1,Active,High,Very Low,1
293,21,M,Town,2015-09-20,8268,1356.33,2,Active,Very High,Very High,0
294,62,M,,2017-01-31,228,286.11,3,Active,Low,Very Low,2
295,40,F,City,2015-08-23,236,372.25,1,Active,Low,Very Low,2
296,48,M,,2017-10-17,2168,685.02,4,Active,High,High,0
297,38,M,Village,2015-06-10,301,227.74,6,Active,Very Low,Very Low,2
298,12,F,City,2016-07-09,345,197.6,12,Active,Very Low,Very Low,2
299,34,F,Town,2016-05-30,1841,958.01,1,Active,Very High,High,0
300,59,M,,2017-12-18,1478,281.2,2,Active,Low,Low,2
301,43,M,City,2017-12-05,473,315.01,6,Active,Low,Low,2
302,15,M,Town,2016-04-20,2025,688.18,4,Active,High,High,0
303,23,M,,2015-05-20,1963,273.43,4,Active,Low,High,1
304,55,M,Town,2017-09-21,7824,948.8,2,Active,Very High,Very High,0
305,59,F,Town,2015-08-08,9216,552.73,1,Active,High,Very High,0
306,50,M,Town,2015-09-04,402,464.66,2,Active,High,Low,1
307,48,F,City,2016-10-08,265,277.32,11,Active,Low,Very Low,2
308,23,F,City,2015-11-02,337,277.81,2,Active,Low,Very Low,2
309,55,M,Town,2017-07-19,455,68.29,25,Silent Churn,Very Low,Low,3
310,33,M,City,2016-11-03,8613,813.38,1,Active,Very High,Very High,0
311,49,M,Town,2015-11-23,335,144.36,0,Active,Very Low,Very Low,2
312,55,M,Town,2017-09-28,1850,714.06,0,Active,Very High,High,0
313,56,F,Village,2017-12-17,498,418.36,0,Active,Low,Low,2
314,32,F,City,2016-02-27,396,251.5,1,Active,Very Low,Low,2
315,52,M,Village,2016-05-13,1721,762.16,0,Active,Very High,High,0
316,16,M,Town,2016-12-30,313,153.44,7,Active,Very Low,Very Low,2
317,48,F,Village,2015-11-22,407,421.07,1,Active,Low,Low,2
318,61,M,City,2017-07-17,11287,739.79,1,Active,Very High,Very High,0
319,33,F,Town,2016-05-07,300,688.29,3,Active,High,Very Low,1
320,22,M,City,2016-08-11,281,485.93,0,Active,High,Very Low,1
321,15,M,City,2015-09-05,334,328.07,4,Active,Low,Very Low,2
322,10,F,Village,2016-02-16,2064,692.21,1,Active,High,High,0
323,50,M,Village,2016-03-03,10889,323.86,11,Active,Low,Very High,1
324,12,M,City,2016-02-05,240,641.22,4,Active,High,Very Low,1
325,10,M,Town,2015-09-13,8910,311.02,10,Active,Low,Very High,1
326,12,M,Town,2017-04-19,238,466.29,21,Active,High,Very Low,2
327,45,F,Town,2017-07-20,298,172.67,7,Active,Very Low,Very Low,2
328,14,F,Town,2016-01-29,211,260.7,0,Active,Very Low,Very Low,2
329,40,F,Town,2017-12-17,241,281.84,0,Active,Low,Very Low,2
330,25,M,City,2017-01-11,9454,780.55,5,Active,Very High,Very High,0
331,20,F,,2015-02-01,2170,1153.64,0,Active,Very High,High,0
332,37,F,City,2017-09-07,224,121.76,5,Active,Very Low,Very Low,2
333,13,M,City,2016-03-21,1310,238.28,0,Active,Very Low,Low,2
334,33,F,Town,2015-08-25,1964,880.54,1,Active,Very High,High,0
335,47,F,Town,2016-09-09,7698,591.19,12,Active,High,Very High,0
336,34,M,Town,2017-08-13,393,202.54,4,Active,Very Low,Low,2
337,60,M,City,2017-06-08,10032,761.85,0,Active,Very High,Very High,0
338,10,F,,2016-06-11,213,256.67,0,Active,Very Low,Very Low,2
339,44,M,Town,2016-07-24,6256,1086.93,1,Active,Very High,Very High,0
340,17,M,Village,2016-11-07,1927,176.86,7,Active,Very Low,High,1
341,38,F,,2015-10-02,281,348.55,12,Active,Low,Very Low,2
342,33,M,,2017-09-03,8335,521.78,8,Active,High,Very High,0
343,16,F,City,2017-05-05,1819,1125.19,1,Active,Very High,High,0
344,50,M,Village,2016-11-25,1812,1028.13,4,Active,Very High,High,0
345,52,F,City,2017-11-27,345,229.8,1,Active,Very Low,Very Low,2
346,36,M,City,2017-04-26,1622,1176.53,1,Active,Very High,Low,1
347,38,F,,2016-10-18,419,306.91,5,Active,Low,Low,2
348,54,F,City,2016-03-20,14685,702.79,0,Active,High,Very High,0
349,18,F,Town,2016-07-22,336,172.68,5,Active,Very Low,Very Low,2
350,27,M,City,2015-04-27,10496,566.01,7,Active,High,Very High,0
351,38,F,Village,2015-07-24,261,150.63,15,Silent Churn,Very Low,Very Low,3
352,59,M,Town,2016-12-12,8933,691.01,0,Active,High,Very High,0
353,51,F,City,2016-08-01,10794,1525.06,1,Active,Very High,Very High,0
354,14,F,,2017-02-25,1710,493.51,1,Active,High,High,0
355,62,F,,2015-10-30,10840,1237.8,1,Active,Very High,Very High,0
356,47,F,City,2016-05-05,9204,608.58,5,Active,High,Very High,0
357,18,M,Town,2015-08-16,1712,437.38,11,Active,High,High,0
358,64,F,Village,2015-01-02,2415,577.01,1,Active,High,High,0
359,56,F,City,2015-07-01,8503,295.44,3,Active,Low,Very High,1
360,52,M,,2015-08-02,1838,488.7,1,Active,High,High,0
361,49,M,City,2017-07-05,434,201.41,6,Active,Very Low,Low,2
362,15,M,,2017-03-30,230,748.27,2,Active,Very High,Very Low,1
363,41,F,Town,2015-06-03,7355,1024.24,0,Active,Very High,Very High,0
364,25,F,Town,2015-12-21,352,325.95,18,Silent Churn,Low,Low,3
365,36,F,City,2017-06-25,2066,571.09,1,Active,High,High,0
366,16,F,Village,2017-12-20,283,508.83,1,Active,High,Very Low,1
367,30,M,Town,2016-12-17,1606,479.7,3,Active,High,Low,1
368,48,M,,2017-10-12,2566,419.1,1,Active,Low,High,1
369,29,M,Town,2017-07-16,292,245.02,0,Active,Very Low,Very Low,2
370,30,F,,2015-12-19,1329,385.02,0,Active,Low,Low,2
371,49,M,City,2017-01-18,341,194.3,4,Active,Very Low,Very Low,2
372,13,F,Town,2015-09-05,1411,176.77,9,Active,Very Low,Low,2
373,56,M,Village,2015-05-29,6113,768.13,3,Active,Very High,Very High,0
374,36,M,Town,2016-03-19,7791,855.09,4,Active,Very High,Very High,0
375,34,M,,2016-11-16,10384,1824.51,1,Active,Very High,Very High,0
376,23,F,City,2015-01-04,262,155.56,1,Active,Very Low,Very Low,2
377,36,F,Town,2016-04-12,221,159.31,2,Active,Very Low,Very Low,2
378,20,M,City,2016-05-11,9638,627.13,1,Active,High,Very High,0
379,35,F,City,2015-07-20,255,94.29,18,Silent Churn,Very Low,Very Low,3
380,29,M,City,2017-07-19,258,170.78,6,Active,Very Low,Very Low,2
381,38,F,City,2017-06-10,392,323.56,9,Active,Low,Low,2
382,46,M,Town,2015-07-01,1628,785.1,3,Active,Very High,High,0
