age,gender,region_category,joining_date,api_calls_90d,session_minutes_90d,days_since_active
51,M,Town,10-12-2015,7081,773.31,9
29,M,Village,07-11-2017,2302,542.96,0
16,M,City,06-11-2017,1827,1050.43,2
25,F,Village,18-05-2017,1853,310.3,4
62,F,City,06-07-2017,399,681.48,6
24,F,Town,29-08-2017,7319,680.65,8
48,M,City,27-03-2015,464,131.36,13
56,M,Village,22-08-2017,397,367.13,0
17,M,,28-12-2016,363,277.86,5
23,F,Town,04-08-2016,2946,742.91,5
42,F,City,23-06-2016,376,790.39,3
59,M,Village,01-09-2015,1648,680.19,4
18,M,Town,22-12-2015,452,306.58,8
23,M,City,21-06-2015,1156,823.87,6
52,F,City,13-11-2017,393,439.53,5
49,F,Town,02-09-2016,11632,387.8,5
30,M,,14-05-2017,6597,809.74,0
31,F,Town,18-08-2016,220,297.2,15
27,M,City,23-10-2016,1660,357.54,4
56,M,City,24-04-2016,3186,643.4,0
11,M,,24-08-2016,2651,474.45,0
31,F,Town,13-04-2017,1917,536.21,1
29,M,Town,07-05-2016,9737,790.03,2
31,F,City,20-04-2016,3216,393.9,4
11,F,Town,10-03-2015,431,278.23,4
14,M,Town,19-07-2017,395,441.28,7
26,M,City,14-11-2017,2095,695.08,4
62,M,,09-01-2016,14405,1811.53,3
51,M,Village,22-09-2017,6773,375.99,0
43,F,Village,12-12-2016,1809,392.7,5
23,M,Town,17-03-2016,1682,834.75,3
57,M,Town,30-08-2015,2910,287.93,1
17,M,,12-11-2015,2186,520.54,2
42,M,City,08-06-2015,12419,579.95,1
21,F,City,11-03-2016,2304,176.66,5
46,M,Village,16-03-2017,385,329.49,6
41,M,,25-11-2016,3499,373.11,1
61,M,City,31-05-2017,380,140.8,15
15,F,City,04-08-2015,11004,636.48,1
56,M,,08-07-2016,3121,732.99,0
35,M,City,26-03-2015,2063,625.6,5
57,M,Town,13-01-2015,399,339.96,13
64,M,Town,16-03-2015,532,142.66,32
21,M,Town,28-02-2017,281,225.37,21
53,F,Town,27-01-2017,1304,718.13,1
26,M,Village,26-06-2017,331,474.14,0
61,M,Town,08-01-2016,1955,557.5,3
30,M,Town,28-04-2015,485,130.18,11
38,M,Town,13-08-2015,1959,962.58,6
35,F,City,24-06-2015,2057,651.26,0
61,F,,17-07-2017,265,180.25,10
53,M,City,05-05-2017,1675,595.78,0
55,M,Town,26-11-2017,279,211.05,1
23,M,City,30-01-2016,377,100.17,21
11,M,Town,23-04-2015,9730,911.06,0
22,M,Town,07-10-2017,311,437.15,0
37,M,Village,04-02-2015,1621,466.68,0
31,M,,15-03-2016,9025,1150.65,4
20,M,City,22-12-2016,7936,623.47,5
53,M,City,02-09-2017,11187,985.24,1
38,F,City,24-05-2017,437,472.81,6
59,F,City,31-08-2016,419,147.52,2
50,F,Town,26-02-2016,2699,274.38,14
64,F,City,30-03-2015,2097,595.01,1
27,F,Town,27-03-2017,1834,344.38,5
12,F,Town,07-10-2017,3447,677.52,2
29,F,Village,04-01-2016,8766,258.63,1
39,F,City,27-09-2016,1771,907.26,3
37,F,City,21-05-2017,13808,331.7,0
37,F,Town,09-02-2016,1744,641.83,8
21,M,Town,01-07-2015,1554,168.91,8
64,F,Town,26-09-2017,314,689.79,1
56,F,Town,03-02-2016,1478,669.31,2
37,F,Town,21-07-2016,322,286.52,12
55,M,Town,07-10-2016,275,371.47,5
18,M,City,10-05-2016,332,231.55,6
27,F,,27-09-2017,1194,459.34,0
57,M,Town,26-10-2017,7659,831.79,0
48,F,City,23-09-2017,251,319.67,2
54,M,Town,24-07-2016,264,254.47,4
52,F,Village,31-12-2017,1496,421.71,1
33,F,Town,20-09-2017,8360,886.78,0
35,M,Town,05-03-2017,229,233,22
42,M,City,06-10-2015,12312,1097.36,0
39,F,City,27-10-2017,1892,412.65,5
50,F,City,15-06-2016,1688,719.57,4
29,M,City,08-01-2015,9003,981.55,0
47,M,Town,05-01-2017,271,369.2,10
16,F,City,30-04-2017,1602,305.2,9
48,M,,28-12-2015,436,479.64,5
14,F,City,19-12-2016,228,351.98,11
13,F,Village,28-11-2016,9063,1447.2,0
56,F,Town,04-09-2016,265,283.44,1
64,F,City,29-09-2016,2182,853.88,0
47,M,Town,14-03-2015,284,129.71,3
46,F,Town,02-08-2015,11185,1830.68,0
45,M,Town,04-04-2017,12940,1039.98,1
60,F,Town,10-12-2015,10478,505.46,4
19,F,Town,30-03-2016,9832,401.47,0
21,F,Town,23-03-2017,1691,513.23,8
60,M,City,27-07-2015,1806,356.85,8
32,M,Town,11-11-2017,2934,484.33,7
36,F,Town,09-12-2017,9657,538.25,0
52,F,Town,24-08-2016,392,271.42,11
39,M,Town,29-12-2016,475,395.25,16
42,F,City,03-09-2016,1289,397.95,0
56,M,Town,03-05-2017,2038,668.96,0
17,F,Town,12-07-2017,1534,997.76,0
56,M,Town,30-08-2016,345,187.44,3
33,F,City,29-12-2017,8740,1780.76,4
33,F,City,07-11-2015,1650,723.35,4
41,M,Town,11-05-2015,320,65.77,2
42,F,City,13-05-2017,457,462.23,3
43,M,,14-05-2017,1683,514.55,0
12,F,City,11-06-2015,313,277.94,7
23,F,Village,13-05-2015,373,346.73,5
14,F,Town,02-07-2015,2535,568.48,1
62,F,Town,18-10-2015,2099,603.4,0
60,M,Town,17-12-2015,2234,893.38,1
56,M,Town,23-07-2016,422,329.75,8
41,M,,14-06-2015,1257,557.97,1
18,F,Town,02-05-2016,1380,231.39,32
63,M,Village,25-03-2017,2101,233.26,0
23,M,City,08-12-2017,2555,1071.12,1
17,M,City,30-10-2017,7459,394.88,12
42,F,City,28-03-2016,1701,746.87,0
31,F,City,01-02-2017,1358,482.9,2
12,F,Town,02-06-2017,1953,704.87,7
63,M,,13-11-2017,8781,717.57,1
16,F,Town,03-11-2017,8331,676.48,4
38,M,Town,04-02-2016,262,60.42,6
15,M,City,18-12-2015,13495,513.17,2
30,M,City,06-11-2015,269,411.29,1
64,M,Village,11-10-2016,384,468.71,7
59,M,Town,29-01-2015,405,395.36,0
23,M,City,04-08-2015,256,299.1,7
32,F,Town,22-06-2015,2065,1045.85,3
11,M,,03-05-2015,8128,401.1,4
42,M,City,30-07-2016,7163,442.63,5
12,M,Town,01-11-2017,379,112.73,5
45,M,City,01-07-2015,9426,1169.64,1
19,F,Town,24-03-2015,7726,203.62,0
55,F,City,06-08-2015,2842,484.23,5
16,F,City,27-02-2017,2008,519.95,1
56,M,City,11-02-2016,11844,1343.79,1
24,F,Town,08-11-2016,2421,518.48,0
24,F,Town,14-01-2015,6295,459.55,6
53,M,Town,11-06-2015,339,396.58,6
12,F,Town,18-08-2015,234,413.52,19
58,M,Town,19-02-2015,294,399.1,1
63,F,Village,16-06-2017,10536,1693.36,2
62,M,Town,07-07-2016,1754,691.08,10
48,F,Village,09-04-2015,8234,751.75,5
60,M,Town,01-11-2015,2201,580.78,11
64,F,City,19-08-2017,285,94.62,1
11,F,,10-12-2016,285,105.81,34
39,M,City,02-06-2015,315,225.13,2
52,F,City,09-10-2016,283,491.16,0
54,F,Town,11-11-2016,1536,426.07,0
12,M,Town,23-04-2015,1225,680.05,5
49,F,,05-01-2015,1555,222.28,1
23,M,Town,03-02-2017,11176,912.42,1
62,F,Village,10-04-2017,268,580.99,4
45,M,,13-09-2017,1268,1002.71,1
17,F,,13-12-2015,1944,638.95,0
22,M,Village,03-03-2015,258,149.87,17
38,M,Town,22-02-2017,365,94.9,1
28,M,City,24-07-2017,8510,846.27,1
39,F,City,24-12-2017,2537,730.35,3
61,F,Town,26-01-2017,172,146.95,9
64,M,Town,17-10-2016,2318,309.87,12
37,M,Town,29-08-2016,2172,444.17,1
48,M,,20-01-2015,219,292.04,1
54,M,Town,04-07-2015,7947,598.45,7
34,F,City,13-06-2016,2339,626.12,1
50,F,Town,01-02-2015,2302,919.84,6
20,F,Town,02-11-2015,1850,545.11,4
27,F,Village,17-07-2015,496,280.61,19
14,F,Town,12-05-2016,252,431.82,2
32,F,,01-06-2015,435,150.04,19
55,F,City,15-03-2017,316,236.51,14
21,F,City,05-11-2015,441,387.35,6
12,M,Town,24-10-2017,295,465.38,8
58,F,Town,18-08-2017,2294,715.76,1
23,F,Town,06-08-2015,384,70.21,1
55,F,Town,17-05-2016,2169,432.88,5
26,M,,09-10-2016,2014,581.7,3
16,M,City,01-05-2017,1961,694.95,0
17,M,Town,22-01-2016,1500,509.05,1
11,M,City,21-05-2015,9187,960.74,0
44,M,City,13-12-2017,2674,370.5,5
16,F,Town,01-10-2016,2163,337.23,15
30,F,City,07-07-2017,331,392.9,4
17,F,Town,07-06-2016,1864,1117.58,2
35,M,City,11-07-2017,1794,779.35,5
62,M,City,31-07-2017,462,208.9,7
25,M,Town,25-10-2017,380,283.45,1
22,F,,06-12-2015,2070,1101.61,1
58,F,Town,07-03-2016,356,220.64,1
62,F,Town,14-09-2017,329,181.47,12
41,M,Town,03-12-2015,1999,1080.1,0
48,M,Town,21-03-2015,9484,607.82,0
41,M,City,18-09-2017,13937,952.8,0
38,M,,04-04-2016,297,582.9,1
21,M,Town,20-09-2015,8268,1356.33,2
62,M,,31-01-2017,228,286.11,3
40,F,City,23-08-2015,236,372.25,1
48,M,,17-10-2017,2168,685.02,4
38,M,Village,10-06-2015,301,227.74,6
12,F,City,09-07-2016,345,197.6,12
34,F,Town,30-05-2016,1841,958.01,1
59,M,,18-12-2017,1478,281.2,2
43,M,City,05-12-2017,473,315.01,6
15,M,Town,20-04-2016,2025,688.18,4
23,M,,20-05-2015,1963,273.43,4
55,M,Town,21-09-2017,7824,948.8,2
59,F,Town,08-08-2015,9216,552.73,1
50,M,Town,04-09-2015,402,464.66,2
48,F,City,08-10-2016,265,277.32,11
23,F,City,02-11-2015,337,277.81,2
55,M,Town,19-07-2017,455,68.29,25
33,M,City,03-11-2016,8613,813.38,1
49,M,Town,23-11-2015,335,144.36,0
55,M,Town,28-09-2017,1850,714.06,0
56,F,Village,17-12-2017,498,418.36,0
32,F,City,27-02-2016,396,251.5,1
52,M,Village,13-05-2016,1721,762.16,0
16,M,Town,30-12-2016,313,153.44,7
48,F,Village,22-11-2015,407,421.07,1
61,M,City,17-07-2017,11287,739.79,1
33,F,Town,07-05-2016,300,688.29,3
22,M,City,11-08-2016,281,485.93,0
15,M,City,05-09-2015,334,328.07,4
10,F,Village,16-02-2016,2064,692.21,1
50,M,Village,03-03-2016,10889,323.86,11
12,M,City,05-02-2016,240,641.22,4
10,M,Town,13-09-2015,8910,311.02,10
12,M,Town,19-04-2017,238,466.29,21
45,F,Town,20-07-2017,298,172.67,7
14,F,Town,29-01-2016,211,260.7,0
40,F,Town,17-12-2017,241,281.84,0
25,M,City,11-01-2017,9454,780.55,5
20,F,,01-02-2015,2170,1153.64,0
37,F,City,07-09-2017,224,121.76,5
13,M,City,21-03-2016,1310,238.28,0
33,F,Town,25-08-2015,1964,880.54,1
47,F,Town,09-09-2016,7698,591.19,12
34,M,Town,13-08-2017,393,202.54,4
60,M,City,08-06-2017,10032,761.85,0
10,F,,11-06-2016,213,256.67,0
44,M,Town,24-07-2016,6256,1086.93,1
17,M,Village,07-11-2016,1927,176.86,7
38,F,,02-10-2015,281,348.55,12
33,M,,03-09-2017,8335,521.78,8
16,F,City,05-05-2017,1819,1125.19,1
50,M,Village,25-11-2016,1812,1028.13,4
52,F,City,27-11-2017,345,229.8,1
36,M,City,26-04-2017,1622,1176.53,1
38,F,,18-10-2016,419,306.91,5
54,F,City,20-03-2016,14685,702.79,0
18,F,Town,22-07-2016,336,172.68,5
27,M,City,27-04-2015,10496,566.01,7
38,F,Village,24-07-2015,261,150.63,15
59,M,Town,12-12-2016,8933,691.01,0
51,F,City,01-08-2016,10794,1525.06,1
14,F,,25-02-2017,1710,493.51,1
62,F,,30-10-2015,10840,1237.8,1
47,F,City,05-05-2016,9204,608.58,5
18,M,Town,16-08-2015,1712,437.38,11
64,F,Village,02-01-2015,2415,577.01,1
56,F,City,01-07-2015,8503,295.44,3
52,M,,02-08-2015,1838,488.7,1
49,M,City,05-07-2017,434,201.41,6
15,M,,30-03-2017,230,748.27,2
41,F,Town,03-06-2015,7355,1024.24,0
25,F,Town,21-12-2015,352,325.95,18
36,F,City,25-06-2017,2066,571.09,1
16,F,Village,20-12-2017,283,508.83,1
30,M,Town,17-12-2016,1606,479.7,3
48,M,,12-10-2017,2566,419.1,1
29,M,Town,16-07-2017,292,245.02,0
30,F,,19-12-2015,1329,385.02,0
49,M,City,18-01-2017,341,194.3,4
13,F,Town,05-09-2015,1411,176.77,9
56,M,Village,29-05-2015,6113,768.13,3
36,M,Town,19-03-2016,7791,855.09,4
34,M,,16-11-2016,10384,1824.51,1
23,F,City,04-01-2015,262,155.56,1
36,F,Town,12-04-2016,221,159.31,2
20,M,City,11-05-2016,9638,627.13,1
35,F,City,20-07-2015,255,94.29,18
29,M,City,19-07-2017,258,170.78,6
38,F,City,10-06-2017,392,323.56,9
46,M,Town,01-07-2015,1628,785.1,3
60,F,City,28-11-2016,3054,303.43,2
61,F,City,27-07-2016,10440,303.34,19
56,F,Town,10-02-2016,2198,543.66,15
41,M,City,24-10-2016,310,333.64,20
59,M,Town,15-11-2015,8233,616.2,1
29,F,Town,25-04-2017,15204,947.58,0
28,M,City,19-10-2016,1798,624.86,14
56,F,Town,22-08-2015,315,432.34,4
43,F,Town,01-05-2016,1643,484.4,0
28,F,,19-05-2017,1768,467.3,9
16,F,,22-05-2016,1973,476.69,1
60,F,Town,21-05-2015,569,192.4,1
35,F,City,28-05-2015,231,219.45,17
24,M,Village,28-11-2015,6438,1003.83,1
17,F,,18-01-2016,287,96.54,7
21,M,City,02-10-2015,2768,898.41,4
16,F,Town,12-06-2015,349,233.15,3
64,M,Village,16-05-2017,11467,856.7,3
39,M,Town,16-11-2016,413,204.65,11
54,F,City,13-12-2017,239,196.11,21
63,F,City,15-12-2017,2342,659.93,0
17,M,City,16-02-2016,309,525.63,5
36,F,Town,26-03-2017,533,474.07,23
55,M,Town,27-07-2015,1672,276.72,3
24,F,Village,17-08-2017,1211,339.56,4
55,M,Town,14-06-2017,1488,815.83,4
63,M,Town,04-03-2016,13618,1070.97,3
28,M,City,12-01-2016,410,290.57,12
35,M,Town,22-06-2015,301,58.14,14
59,M,Town,21-04-2016,384,165.77,8
23,F,Town,16-01-2015,1604,498.49,7
32,M,,19-07-2017,2742,747.04,0
36,M,City,10-08-2015,373,512.26,1
19,M,Town,15-01-2015,8168,1410.61,1
47,M,City,16-08-2015,11337,1014.43,0
42,M,City,06-05-2016,332,382.6,5
30,M,City,15-02-2015,7996,428.16,1
29,M,City,14-09-2017,373,308.16,10
25,M,,12-03-2015,334,262.89,0
54,F,Village,13-10-2017,547,184.37,0
38,F,Village,01-08-2015,528,149.35,4
19,F,Town,20-05-2016,13025,793.63,0
28,F,Town,13-12-2017,1544,351.24,7
57,F,City,24-05-2015,9855,725.55,5
56,F,Village,19-08-2016,7120,581.39,0
33,M,,10-08-2015,372,340.33,1
36,M,City,10-10-2015,359,222.12,7
53,M,Town,21-09-2017,10324,1344.57,0
13,M,Town,30-12-2017,242,367.22,21
27,M,Village,08-03-2015,1963,380.86,6
11,F,Town,17-11-2015,515,180.23,4
26,F,City,10-05-2017,548,205.27,5
16,M,City,26-09-2016,230,399.56,2
51,M,,28-10-2017,9511,1461.9,0
23,M,Town,29-07-2017,1854,575.94,0
25,F,City,02-03-2015,15281,1102.3,0
16,M,Village,26-06-2015,246,203.85,3
60,F,,05-11-2016,255,349.46,2
61,M,Town,12-04-2016,261,497.01,4
44,M,City,12-03-2017,1268,810.38,0
20,F,City,10-11-2016,2261,505.61,11
27,M,Town,24-10-2015,1820,417.82,0
22,F,City,02-08-2016,1645,484.44,1
19,F,City,27-01-2017,3088,1094.68,0
49,M,Village,03-08-2017,10552,1384.07,0
40,M,,10-09-2015,356,445.64,1
20,M,Village,24-10-2015,288,225.07,0
52,M,Town,07-12-2016,16302,458.19,1
39,F,Town,22-04-2017,326,308.1,5
20,F,Village,22-07-2015,8023,623.74,2
25,M,City,12-02-2016,294,226.79,1
16,M,City,12-10-2017,7119,454.31,3
17,F,Town,14-01-2017,394,121.11,0
64,F,City,09-07-2016,368,374.88,7
37,F,Town,29-10-2016,456,299.45,5
49,F,Town,18-09-2016,495,616.53,5
36,M,City,14-03-2016,469,126.04,1
59,F,Village,25-09-2015,1591,556.35,7
21,M,City,15-08-2017,10849,527.46,1
17,M,City,13-01-2015,2530,969.79,8
15,M,Town,19-01-2017,1398,638.2,1
48,M,Village,23-01-2016,1727,580.57,4
47,M,Town,12-06-2016,2244,214.81,0
17,M,,05-10-2017,8505,445.68,3
21,M,,14-09-2016,2014,658.75,6
51,M,City,23-08-2017,10152,430.63,1
59,F,Town,10-01-2017,1823,775.81,1
54,M,City,09-04-2017,1622,312.18,1
24,M,Village,17-08-2016,13781,486.24,0
27,M,City,17-06-2017,6486,542.3,0
40,M,Village,16-02-2015,10185,698.57,4
17,M,Town,22-07-2017,329,105.59,6
27,M,Village,16-01-2016,10809,997.46,0
61,M,Village,23-08-2016,369,187.16,6
35,F,Town,23-12-2015,279,182.04,23
27,F,,05-06-2015,377,41.27,17
64,F,City,09-12-2016,499,147.39,2
26,M,Town,31-07-2015,2141,293.14,1
40,M,Town,07-05-2016,1625,356.08,0
57,F,City,16-04-2015,1869,642.05,4
28,M,City,03-05-2015,1533,358.85,2
60,M,Town,31-07-2015,358,475.22,1
51,F,Town,03-11-2017,301,420.41,6
18,M,,05-02-2017,345,312.6,0
39,M,Village,15-06-2015,10459,761.77,1
31,M,Town,09-10-2016,1978,959.31,3
23,M,City,29-10-2015,313,300.92,4
60,F,City,19-12-2016,1883,520.96,4
49,M,City,19-08-2015,1840,957.84,0
64,F,Village,08-06-2016,358,318.1,0
15,F,City,17-07-2015,190,240.46,22
51,F,Town,12-11-2016,2146,637.81,5
38,M,Town,04-06-2017,2114,289.83,0
25,F,City,21-10-2017,7343,1061.17,0
17,F,Village,22-09-2017,1986,466.07,2
43,M,,04-04-2016,10048,352.97,2
47,M,Town,18-06-2017,2708,811.3,3
60,M,Town,31-05-2017,2205,496.26,1
61,M,Town,05-11-2016,319,73.39,6
41,M,City,09-04-2016,1335,845.22,4
39,M,Village,08-10-2015,529,412.19,5
55,F,Town,01-10-2016,9596,1083.62,0
57,F,City,22-04-2017,1511,456.55,3
38,M,City,25-03-2016,11257,456.11,1
13,M,City,08-01-2017,436,297.2,7
10,F,Village,18-02-2016,306,459.67,3
15,M,Town,03-01-2016,363,329.48,4
53,F,City,14-01-2017,2261,579.58,3
54,M,City,25-03-2017,2101,322.5,0
46,F,,20-01-2015,3086,440.73,0
28,M,Village,18-01-2017,7815,481.65,1
39,F,Town,11-11-2017,302,183.62,23
13,M,Town,07-07-2017,500,212.21,14
42,F,Town,25-02-2015,1750,1158.48,0
56,M,,02-12-2017,2742,239.81,1
46,M,,31-05-2016,2056,280.25,8
41,F,Town,16-05-2017,10068,510.8,0
56,F,Town,17-10-2017,9499,1153.93,6
29,F,,20-04-2017,13079,451.64,6
59,F,City,10-09-2016,1886,1180.23,0
50,F,Town,25-04-2015,378,169.68,3
52,F,City,14-05-2017,513,169.68,3
43,F,Town,22-10-2016,467,378.22,1
29,M,Town,16-10-2015,1491,698.57,0
44,M,City,16-07-2015,253,139.96,4
32,F,City,25-05-2016,282,183.98,0
40,M,City,01-05-2017,8835,403.62,3
17,M,Town,03-02-2017,290,101.24,5
60,F,City,22-01-2016,283,348.64,3
25,M,,12-03-2016,6707,963.87,0
21,M,Town,20-01-2017,2304,512.57,2
58,F,City,26-04-2016,1632,333.3,1
12,M,City,10-06-2017,8613,1110.48,1
46,M,City,17-10-2016,274,270.5,14
53,F,Town,22-08-2016,375,140.51,4
26,F,Village,27-09-2017,9793,1616.86,1
18,M,,06-05-2016,1679,741.02,1
60,M,Village,31-07-2015,1472,253.7,10
26,M,Town,09-07-2017,12279,571.45,5
52,F,City,20-09-2015,1640,394.15,3
35,F,City,01-12-2016,8585,457.45,0
19,F,Town,06-05-2017,3179,683.43,3
38,M,Town,23-07-2017,1425,323.93,7
59,F,Town,29-01-2016,435,299.63,3
53,F,Town,27-04-2015,2124,528.79,0
60,M,Town,23-12-2016,222,185.12,2
18,F,,05-05-2015,247,337.8,11
60,F,Town,05-06-2015,1574,232.97,19
32,M,City,06-08-2017,294,355.87,12
59,F,City,16-02-2017,345,577.43,12
61,F,City,29-09-2015,2127,672.34,2
41,F,Town,02-11-2015,1967,316.59,0
11,M,Village,02-06-2017,363,478.46,11
55,F,Town,25-04-2015,10678,498.24,2
13,F,City,15-07-2015,16127,1337.4,0
55,F,Town,15-11-2015,1828,678.37,0
10,M,City,26-03-2017,1773,631.54,1
44,M,City,31-05-2017,2718,406.22,3
63,M,Town,02-07-2015,1557,736.05,7
15,F,Town,22-02-2016,1682,1228.41,5
20,M,Town,17-01-2016,2506,899.06,1
61,M,City,02-06-2017,3067,606.95,3
26,F,Village,30-08-2016,345,117.59,19
21,F,City,20-12-2017,409,176.23,7
28,M,City,21-01-2017,334,377.57,0
55,M,Town,30-08-2015,327,393.46,2
17,F,Town,02-02-2017,311,128.29,6
36,M,Town,16-09-2016,438,165.39,7
20,F,Town,11-12-2015,12035,1450.38,4
24,F,Town,28-11-2016,453,61.98,2
19,F,City,03-10-2015,270,347.51,1
33,M,,29-07-2016,9015,669.12,0
58,M,Town,30-01-2015,2526,929.63,1
49,F,Town,24-12-2015,2976,342.39,6
34,F,Village,23-09-2017,410,203.4,8
47,M,,12-07-2015,401,92.14,12
63,M,Town,28-02-2016,7731,800.42,0
45,M,Town,15-01-2016,449,204.81,4
15,F,Town,30-11-2016,2462,304.25,4
19,M,Town,08-12-2016,8852,678.12,3
38,M,Village,13-11-2017,8491,1008.48,3
16,M,Town,02-06-2015,1550,696.13,2
64,F,City,14-04-2016,439,286.96,3
16,M,,26-09-2017,1847,413.55,11
12,F,,24-06-2017,244,290.55,5
36,F,,02-12-2015,1661,425.05,6
45,F,Town,08-07-2015,456,57.62,6
30,M,City,02-10-2017,10281,1363.74,1
45,M,City,31-12-2015,1835,550.67,1
45,F,Town,14-06-2015,8515,885.74,0
32,M,City,04-03-2016,9667,754.62,2
40,M,Village,02-11-2017,236,460.47,6
50,F,City,07-02-2017,1837,592.34,0
25,M,Town,22-03-2016,1675,338.77,0
46,M,Town,05-03-2017,8886,649.78,5
36,M,City,19-01-2015,439,459.36,3
52,M,City,07-03-2017,1893,1371.21,2
34,M,City,18-08-2015,2875,899.07,8
31,F,Town,23-06-2016,264,425.53,3
53,F,Village,08-10-2015,286,521.99,4
22,F,Town,08-04-2015,328,430.42,1
21,F,,03-06-2017,489,168.13,8
20,F,Town,28-07-2017,465,242.99,0
56,F,City,27-02-2016,335,212.79,3
59,M,Town,23-11-2017,231,279.48,9
62,M,Town,07-05-2015,2196,419.61,2
16,F,Village,10-11-2016,278,569.41,5
45,M,,13-05-2015,12206,1731.66,0
55,F,,18-04-2017,9318,1369.96,0
19,M,Town,09-04-2017,487,331.58,1
13,F,Village,02-06-2015,2205,1315.74,0
14,F,Village,09-06-2017,7737,358.51,1
15,M,,06-12-2016,347,235.75,8
57,M,City,28-04-2017,2313,498.08,5
48,M,,05-02-2015,7825,688.1,0
31,F,City,14-11-2015,1508,583.38,4
29,F,City,20-07-2017,2160,414.79,8
31,M,,22-09-2016,203,80.87,42
34,M,Town,27-11-2015,2399,237.62,6
57,F,City,25-03-2017,1831,764.77,0
46,F,Village,10-02-2017,2334,739.11,0
41,F,Village,09-05-2017,402,304.22,5
11,M,Village,19-08-2017,329,139.92,13
40,F,City,09-09-2016,8171,513.49,3
43,M,City,03-05-2016,297,391.26,0
48,M,,08-10-2017,9147,567.59,2
29,M,,08-01-2017,2513,724.27,3
41,F,,02-03-2015,1705,472.13,0
